axis_id,classification,reason,redundancy_status,conditional_separation_status,residual_relevance_status,macro_dynamics_status,recommended_next_action
distribution_shape_01,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_02,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_03,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_04,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_05,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_06,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_07,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
distribution_shape_08,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_short_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_medium_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_effective_medium_payoff,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_friction,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_viscosity,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_rigidity,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_recovery_speed,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_route_support,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_operating_cost,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_cost_reduction_gain,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_semantic_viability_reserve,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_short_payoff_x_friction,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_medium_payoff_x_viscosity,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_effective_medium_payoff_x_operating_cost,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_route_support_x_cost_reduction_gain,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_viability_reserve_x_negative_viability_pressure,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
terrain_interaction_released_mass_x_release_reallocation_flow,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
temporal_response_information_memory,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
temporal_response_exploration_option_value,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
temporal_response_exploration_net_expected_value,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
temporal_response_expected_value_advantage,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
temporal_response_last_flow,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
external_response_external_resource_supply,hold_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,low_or_contextual,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
external_response_external_demand,audit_only,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,low_or_contextual,audit_context_only,review_with_full_distribution_before_any_core_selection
external_response_external_competition_pressure,hold_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,low_or_contextual,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
external_response_external_information_noise,audit_only,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,low_or_contextual,audit_context_only,review_with_full_distribution_before_any_core_selection
external_response_external_shock,hold_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,low_or_contextual,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
external_response_external_constraint_pressure,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
residual_response_positive_residual_proxy,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
residual_response_negative_residual_proxy,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
residual_response_residual_energy_proxy,core_candidate,Decision-support label from residual relation and macro-dynamics preservation; not final adoption.,audited_not_dropped,audited_keep_if_separable,relevant,preserves_some_dynamics,review_with_full_distribution_before_any_core_selection
